113740096,7081272,2993176,1372661071
109413520,6165169,3001368,1353093678
105770008,4520927,3009560,1270065676
102039872,3992560,3009560,1176541280
98360256,6262768,3009560,1134033745
95284248,6142205,3009560,1114480600
92087712,6760097,3009560,1083379880
88992792,5598087,3009560,1067532418
86388352,5596647,3009560,1039457153
83678472,7050625,3025944,959737560
81130504,6160032,3025944,947986840
78480440,5654705,3025944,895310511
75827784,5194765,3025944,881054960
73753728,5294840,3025944,854259107
71712504,5226809,3025944,846735183
69618712,4845960,3034136,843907840
67457552,6668664,3034136,773067816
65340200,10609472,3034136,753059768
63851544,11221528,3034136,738339230
62253352,7066712,3034136,693400063
60617744,7117465,3034136,671894208
59081272,5373768,3034136,663501302
57559376,5721472,3034136,646850760
55917928,6451105,3034136,622908280
54349760,8056056,3034136,603577857
52760472,7368448,3034136,581089984
63851544,8172648,3034136,707938552
77468728,5754945,3034136,872307183
75354960,6189104,3034136,842498320
73279232,4699575,3034136,823680983
71138720,6204935,3034136,790756088
69094424,4372813,3034136,762520499
66953568,5794723,3034136,754014560
64837784,5224632,3034136,724803135
63327256,6134337,3034136,694677648
61746400,5764463,3034136,679750760
60141032,6352392,3034136,658232257
58600536,5910184,3034136,650787786
56947384,19281192,3034136,657986456
67965680,6342463,3034136,789091560
81137360,4570248,3034136,941088537
78484272,4765553,3034136,902740697
75834232,4899823,3034136,869375242
73813016,4818897,3034136,837588080
71651080,6746168,3034136,823955040
69584304,4061817,3034136,791426617
67464808,3783305,3034136,768778133
65422296,3905817,3034136,744453733
63851544,4803787,3034136,716505833
62258072,4058432,3034136,708202768
60618680,4995897,3034136,689381895
59098856,4182644,3034136,661146936
57558880,3852415,3034136,654769946
55918376,4918080,3034136,632764005
54349464,5568208,3034136,613523152
52759176,5093193,3034136,591519477
51738752,5209472,3034136,577579762
50719552,4049913,3034136,564972653
49597360,6005785,3034136,551625225
48647192,3851265,3034136,532602675
47555256,5389607,3034136,526936260
46532792,3839217,3034136,514068828
45411832,5575656,3034136,500714032
44389600,5138801,3034136,489828034
43404312,4314480,3034136,476904505
42346504,4216615,3034136,466305112
41224256,5047255,3034136,451759253
40713808,3615110,3034136,447608195
40202928,6542417,3034136,441910735
39691432,5319312,3034136,435697170
47042688,4518265,3034136,522413801
46021424,5332488,3034136,509015112
44899320,4726617,3034136,495653335
43928600,5802031,3034136,479150872
42856984,5952924,3034136,539322465
41733944,4269423,3034136,457855230
40712664,3513089,3034136,447607278
